IP,jsonH1,jsonH2,getH1,getH2,postH1,postH2,hostname,ESNIsupport,TLS13support
45.90.28.45,True,True,True,True,True,True,dns1.nextdns.io,False,True
185.244.27.53,True,True,True,True,True,True,185.244.27.53,False,False
52.17.180.181,False,False,False,True,False,False,ec2-52-17-180-181.eu-west-1.compute.amazonaws.com,False,False
109.24.70.47,False,False,True,True,True,True,asc-ws.sfr.fr.casepp.sfr.fr,False,False
45.90.28.134,True,True,True,True,True,True,dns1.nextdns.io,False,True
139.199.33.37,False,False,False,True,False,True,139.199.33.37,False,False
141.84.69.2,False,False,True,True,True,True,esel.stusta.mhn.de,False,True
195.238.187.150,False,False,True,True,True,True,rev-195-238-187.atman.pl,False,False
168.119.160.80,False,False,True,True,True,True,static.80.160.119.168.clients.your-server.de,False,False
193.170.194.22,False,False,True,True,True,True,ns0.servus.at,False,True
216.230.232.29,True,True,True,True,True,True,dns.nextdns.io,False,True
45.90.28.203,True,True,True,True,True,True,dns1.nextdns.io,False,True
54.169.113.231,False,False,True,True,True,True,ec2-54-169-113-231.ap-southeast-1.compute.amazonaws.com,False,False
45.90.30.238,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.29.234,True,True,True,True,True,True,45.90.29.234,False,False
51.222.107.153,True,True,True,True,True,True,vps-0ad116e1.vps.ovh.ca,False,False
77.223.128.220,True,False,True,False,True,False,77.223.128.220,False,False
89.17.159.213,False,False,True,True,True,True,89.17.159.213,False,False
110.43.53.226,False,False,True,True,True,True,110.43.53.226,False,False
8.129.77.255,False,False,True,True,True,True,8.129.77.255,False,False
80.125.181.99,False,False,True,True,True,True,cms.ezy-distrib.sfr.fr.casepp.sfr.fr,False,False
45.90.30.62,True,True,True,True,True,True,dns2.nextdns.io,False,True
134.102.20.20,False,False,True,True,True,True,ines.zfn.uni-bremen.de,False,False
45.90.30.65,True,True,True,True,True,True,dns2.nextdns.io,False,True
3.209.17.34,False,False,False,False,True,True,ec2-3-209-17-34.compute-1.amazonaws.com,False,False
45.90.28.78,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.30.22,True,True,True,True,True,True,dns2.nextdns.io,False,True
101.198.198.198,False,False,True,True,True,True,public-dns-a.dnspai.com,False,False
45.90.30.9,True,True,True,True,True,True,dns2.nextdns.io,False,True
31.216.14.42,False,False,True,True,True,True,ns4.highnet.com,False,False
217.160.44.149,False,False,True,True,True,True,217.160.44.149,False,False
217.169.20.23,False,False,True,True,True,True,dns.aa.net.uk,False,True
45.90.30.18,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.29.17,True,True,True,True,True,True,45.90.29.17,False,False
135.181.102.167,True,True,True,True,True,True,dns.nextdns.io,False,True
185.12.88.178,False,False,True,True,True,True,185.12.88.178,False,False
8.39.235.108,True,True,True,True,True,True,dns.nextdns.io,False,True
45.90.30.136,True,True,True,True,True,True,dns2.nextdns.io,False,True
142.93.33.36,False,False,True,False,True,False,doh.argh.in,False,False
139.99.134.6,False,False,True,True,True,True,camilasyd1.zdns.pw,False,False
104.225.11.172,False,False,True,True,True,True,dns3.iad3.hv.nominum.cloud,False,False
45.90.28.41,True,True,True,True,True,True,dns1.nextdns.io,False,True
80.125.180.100,False,False,True,True,True,True,outilamberpoint.sfr.fr.casepp.sfr.fr,False,False
45.90.28.80,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.30.250,True,True,True,True,True,True,dns2.nextdns.io,False,True
86.106.103.153,True,True,True,True,True,True,dns.nextdns.io,False,True
119.3.218.92,False,False,True,True,True,True,ecs-119-3-218-92.compute.hwclouds-dns.com,False,False
52.209.174.126,False,False,False,True,False,False,ec2-52-209-174-126.eu-west-1.compute.amazonaws.com,False,False
17.253.38.243,False,False,True,True,True,True,sesto4-doh-002.aaplimg.com,False,False
